Tanggal,Bawang Merah
29/09/2022,30380
30/09/2022,30810
01/10/2022,30710
02/10/2022,30590
03/10/2022,31570
04/10/2022,31840
05/10/2022,32030
06/10/2022,32480
07/10/2022,31010
08/10/2022,31660
09/10/2022,31600
10/10/2022,31650
11/10/2022,31720
12/10/2022,32120
13/10/2022,32300
14/10/2022,32330
15/10/2022,32040
16/10/2022,32120
17/10/2022,31280
18/10/2022,31520
19/10/2022,31250
20/10/2022,31340
21/10/2022,31480
22/10/2022,31090
23/10/2022,31990
24/10/2022,31880
25/10/2022,32070
26/10/2022,31620
27/10/2022,31960
28/10/2022,32600
29/10/2022,32370
30/10/2022,32200
31/10/2022,31920
01/11/2022,32610
02/11/2022,32790
03/11/2022,32350
04/11/2022,32050
05/11/2022,32180
06/11/2022,31370
07/11/2022,31110
08/11/2022,31240
09/11/2022,31290
10/11/2022,31800
11/11/2022,31080
12/11/2022,30980
13/11/2022,31270
14/11/2022,30720
15/11/2022,30620
16/11/2022,30710
17/11/2022,30880
18/11/2022,30550
19/11/2022,30430
20/11/2022,30480
21/11/2022,30100
22/11/2022,30220
23/11/2022,30170
24/11/2022,29600
25/11/2022,29810
26/11/2022,30000
27/11/2022,30140
28/11/2022,30180
29/11/2022,30690
30/11/2022,30440
01/12/2022,30450
02/12/2022,29980
03/12/2022,30110
04/12/2022,30620
05/12/2022,30430
06/12/2022,30210
07/12/2022,29990
08/12/2022,30770
09/12/2022,30730
10/12/2022,30820
11/12/2022,30760
12/12/2022,30830
13/12/2022,30940
14/12/2022,31280
15/12/2022,31220
16/12/2022,31950
17/12/2022,31800
18/12/2022,31890
19/12/2022,31500
20/12/2022,31910
21/12/2022,31220
22/12/2022,30910
23/12/2022,31540
24/12/2022,31510
25/12/2022,31560
26/12/2022,31490
27/12/2022,31550
28/12/2022,31860
29/12/2022,31760
30/12/2022,31710
31/12/2022,32860
01/01/2023,31750
02/01/2023,31750
03/01/2023,33230
04/01/2023,33290
05/01/2023,33650
06/01/2023,33760
07/01/2023,33420
08/01/2023,33710
09/01/2023,32480
10/01/2023,34110
11/01/2023,34060
12/01/2023,34280
13/01/2023,34200
14/01/2023,34350
15/01/2023,34480
16/01/2023,35060
17/01/2023,34760
18/01/2023,35240
19/01/2023,35620
20/01/2023,35450
21/01/2023,35670
22/01/2023,35650
23/01/2023,36170
24/01/2023,36380
25/01/2023,36750
26/01/2023,37080
27/01/2023,37930
28/01/2023,38110
29/01/2023,38450
30/01/2023,40020
31/01/2023,40390
01/02/2023,41040
02/02/2023,40870
03/02/2023,40790
04/02/2023,40710
05/02/2023,40910
06/02/2023,40610
07/02/2023,41800
08/02/2023,41470
09/02/2023,41750
10/02/2023,40840
11/02/2023,40840
12/02/2023,41810
13/02/2023,39300
14/02/2023,38500
15/02/2023,38830
16/02/2023,38760
17/02/2023,37720
18/02/2023,36950
19/02/2023,36260
20/02/2023,35950
21/02/2023,35730
22/02/2023,35540
23/02/2023,35170
24/02/2023,34780
25/02/2023,34140
26/02/2023,34620
27/02/2023,34920
28/02/2023,34430
01/03/2023,34790
02/03/2023,34920
03/03/2023,34560
04/03/2023,34800
05/03/2023,35350
06/03/2023,36120
07/03/2023,35720
08/03/2023,35350
09/03/2023,34840
10/03/2023,34610
11/03/2023,34770
12/03/2023,34390
13/03/2023,34390
14/03/2023,33700
15/03/2023,34270
16/03/2023,33610
17/03/2023,33980
18/03/2023,34230
19/03/2023,34310
20/03/2023,34890
21/03/2023,35340
22/03/2023,35290
23/03/2023,34780
24/03/2023,34960
25/03/2023,34750
26/03/2023,34560
27/03/2023,34970
28/03/2023,34510
29/03/2023,34370
30/03/2023,33780
31/03/2023,33410
01/04/2023,33240
02/04/2023,32720
03/04/2023,33190
04/04/2023,33140
05/04/2023,33680
06/04/2023,33350
07/04/2023,32910
08/04/2023,33060
09/04/2023,32770
10/04/2023,33090
11/04/2023,33210
12/04/2023,32870
13/04/2023,32300
14/04/2023,32400
15/04/2023,32550
16/04/2023,32420
17/04/2023,34460
18/04/2023,36100
19/04/2023,37380
20/04/2023,38040
21/04/2023,39850
22/04/2023,38620
23/04/2023,38150
24/04/2023,38400
25/04/2023,37480
26/04/2023,39210
27/04/2023,38400
28/04/2023,38320
29/04/2023,39370
30/04/2023,38810
01/05/2023,38540
02/05/2023,38240
03/05/2023,38390
04/05/2023,39560
05/05/2023,39160
06/05/2023,38400
07/05/2023,38970
08/05/2023,38970
09/05/2023,39000
10/05/2023,39360
11/05/2023,38390
12/05/2023,38890
13/05/2023,39070
14/05/2023,38970
15/05/2023,38850
16/05/2023,39090
17/05/2023,39110
18/05/2023,39860
19/05/2023,39000
20/05/2023,39220
21/05/2023,39990
22/05/2023,39730
23/05/2023,39860
24/05/2023,39790
25/05/2023,39130
26/05/2023,38990
27/05/2023,39040
28/05/2023,39090
29/05/2023,39040
30/05/2023,39020
31/05/2023,39770
01/06/2023,39370
02/06/2023,39010
03/06/2023,38960
04/06/2023,39180
05/06/2023,39100
06/06/2023,39120
07/06/2023,39250
08/06/2023,39520
09/06/2023,38910
10/06/2023,39050
11/06/2023,39210
12/06/2023,39080
13/06/2023,38960
14/06/2023,39250
15/06/2023,39470
16/06/2023,39660
17/06/2023,38970
18/06/2023,39420
19/06/2023,38940
20/06/2023,38690
21/06/2023,39170
22/06/2023,38290
23/06/2023,38240
24/06/2023,38290
25/06/2023,38270
26/06/2023,38880
27/06/2023,39400
28/06/2023,39590
29/06/2023,39660
30/06/2023,39470
01/07/2023,40750
02/07/2023,39350
03/07/2023,39290
04/07/2023,39180
05/07/2023,38980
06/07/2023,38090
07/07/2023,36920
08/07/2023,37010
09/07/2023,37140
10/07/2023,34990
11/07/2023,34590
12/07/2023,34010
13/07/2023,34220
14/07/2023,33570
15/07/2023,33450
16/07/2023,33210
17/07/2023,33200
18/07/2023,32290
19/07/2023,32190
20/07/2023,31830
21/07/2023,32220
22/07/2023,31230
23/07/2023,31110
24/07/2023,31400
25/07/2023,31350
26/07/2023,30720
27/07/2023,30420
28/07/2023,30340
29/07/2023,30030
30/07/2023,30020
31/07/2023,29930
01/08/2023,29580
02/08/2023,29860
03/08/2023,29480
04/08/2023,29850
05/08/2023,29680
06/08/2023,29490
07/08/2023,28710
08/08/2023,29670
09/08/2023,29500
10/08/2023,29320
11/08/2023,29280
12/08/2023,29280
13/08/2023,29190
14/08/2023,28880
15/08/2023,29170
16/08/2023,28770
17/08/2023,28390
18/08/2023,28440
19/08/2023,28770
20/08/2023,28390
21/08/2023,27810
22/08/2023,27300
23/08/2023,27150
24/08/2023,26990
25/08/2023,26990
26/08/2023,26620
27/08/2023,26670
28/08/2023,26460
29/08/2023,25320
30/08/2023,25620
31/08/2023,25490
01/09/2023,25790
02/09/2023,25420
03/09/2023,25310
04/09/2023,25300
05/09/2023,24680
06/09/2023,24890
07/09/2023,25270
08/09/2023,24740
09/09/2023,25040
10/09/2023,24880
11/09/2023,24530
12/09/2023,24370
13/09/2023,24430
14/09/2023,24070
15/09/2023,24230
16/09/2023,23850
17/09/2023,24120
18/09/2023,23120
19/09/2023,23330
20/09/2023,22970
21/09/2023,22800
22/09/2023,22530
23/09/2023,22630
24/09/2023,23180
25/09/2023,22890
26/09/2023,23350
27/09/2023,23330
28/09/2023,23290
29/09/2023,23150
30/09/2023,23100
01/10/2023,23070
02/10/2023,22860
03/10/2023,23300
04/10/2023,22970
05/10/2023,22790
06/10/2023,23140
07/10/2023,23360
08/10/2023,23630
09/10/2023,22850
10/10/2023,22910
11/10/2023,22540
12/10/2023,22470
13/10/2023,22570
14/10/2023,22580
15/10/2023,22710
16/10/2023,22890
17/10/2023,22890
18/10/2023,22870
19/10/2023,22940
20/10/2023,22810
21/10/2023,23040
22/10/2023,22970
23/10/2023,22740
24/10/2023,22170
25/10/2023,22000
26/10/2023,22500
27/10/2023,22020
28/10/2023,22680
29/10/2023,22780
30/10/2023,23400
31/10/2023,23500
01/11/2023,23540
02/11/2023,23910
03/11/2023,24480
04/11/2023,24340
05/11/2023,25190
06/11/2023,26390
07/11/2023,27080
08/11/2023,27140
09/11/2023,27670
10/11/2023,28040
11/11/2023,27980
12/11/2023,27830
13/11/2023,28210
14/11/2023,27750
15/11/2023,27970
16/11/2023,28160
17/11/2023,28860
18/11/2023,28500
19/11/2023,28440
20/11/2023,28400
21/11/2023,29230
22/11/2023,28910
23/11/2023,29100
24/11/2023,29010
